"","x"
"167","Other.service"
"168","Precision.production.craft...repair"
"169","Private.household.services"
"170","Professional.specialty"
"171","Protective.services"
"172","Sales"
"173","Technicians.and.related.support"
"174","Transportation.and.material.moving"
"175","Amer.Indian.Aleut.or.Eskimo"
"176","Asian.or.Pacific.Islander"
"177","Black"
"178","Other"
"179","White"
"180","All.other"
"181","Central.or.South.American"
"182","Chicano"
"183","Cuban"
"184","Do.not.know"
"185","Mexican..Mexicano."
"186","Mexican.American"
"187",NA
"188","Other.Spanish"
"189","Puerto.Rican"
"190","Female"
"191","Male"
"192","No"
"193","Not.in.universe"
"194","Yes"
"195","Job.leaver"
"196","Job.loser...on.layoff"
"197","New.entrant"
"198","Not.in.universe"
"199","Other.job.loser"
"200","Re.entrant"
"201","Children.or.Armed.Forces"
"202","Full.time.schedules"
"203","Not.in.labor.force"
"204","PT.for.econ.reasons.usually.FT"
"205","PT.for.econ.reasons.usually.PT"
"206","PT.for.non.econ.reasons.usually.FT"
"207","Unemployed.full.time"
"208","Unemployed.part..time"
"209","Abroad"
"210","Midwest"
"211","Northeast"
"212","Not.in.universe"
"213","South"
"214","West"
"215","Abroad"
"216","Alabama"
"217","Alaska"
"218","Arizona"
"219","Arkansas"
"220","California"
"221","Colorado"
"222","Connecticut"
"223","Delaware"
"224","District.of.Columbia"
"225","Florida"
"226","Georgia"
"227","Idaho"
"228","Illinois"
"229","Indiana"
"230","Iowa"
"231","Kansas"
"232","Kentucky"
"233","Louisiana"
"234","Maine"
"235","Maryland"
"236","Massachusetts"
"237","Michigan"
"238","Minnesota"
"239","Mississippi"
"240","Missouri"
"241","Montana"
"242","Nebraska"
"243","Nevada"
"244","New.Hampshire"
"245","New.Jersey"
"246","New.Mexico"
"247","New.York"
"248","North.Carolina"
"249","North.Dakota"
"250","Not.in.universe"
"251","Ohio"
"252","Oklahoma"
"253","Oregon"
"254","Pennsylvania"
"255","South.Carolina"
"256","South.Dakota"
"257","Tennessee"
"258","Texas"
"259","Utah"
"260","Vermont"
"261","Virginia"
"262","West.Virginia"
"263","Wisconsin"
"264","Wyoming"
"265","Child..18.ever.marr.not.in.subfamily"
"266","Child..18.ever.marr.RP.of.subfamily"
"267","Child..18.never.marr.not.in.subfamily"
"268","Child..18.never.marr.RP.of.subfamily"
"269","Child..18.spouse.of.subfamily.RP"
"270","Child.18..ever.marr.Not.in.a.subfamily"
"271","Child.18..ever.marr.RP.of.subfamily"
"272","Child.18..never.marr.Not.in.a.subfamily"
"273","Child.18..never.marr.RP.of.subfamily"
"274","Child.18..spouse.of.subfamily.RP"
"275","Child.under.18.of.RP.of.unrel.subfamily"
"276","Grandchild..18.ever.marr.not.in.subfamily"
"277","Grandchild..18.never.marr.child.of.subfamily.RP"
"278","Grandchild..18.never.marr.not.in.subfamily"
"279","Grandchild..18.never.marr.RP.of.subfamily"
"280","Grandchild.18..ever.marr.not.in.subfamily"
"281","Grandchild.18..ever.marr.RP.of.subfamily"
"282","Grandchild.18..never.marr.not.in.subfamily"
"283","Grandchild.18..never.marr.RP.of.subfamily"
"284","Grandchild.18..spouse.of.subfamily.RP"
"285","Householder"
"286","In.group.quarters"
"287","Nonfamily.householder"
"288","Other.Rel..18.ever.marr.not.in.subfamily"
"289","Other.Rel..18.ever.marr.RP.of.subfamily"
"290","Other.Rel..18.never.marr.child.of.subfamily.RP"
"291","Other.Rel..18.never.marr.not.in.subfamily"
"292","Other.Rel..18.never.married.RP.of.subfamily"
"293","Other.Rel..18.spouse.of.subfamily.RP"
"294","Other.Rel.18..ever.marr.not.in.subfamily"
"295","Other.Rel.18..ever.marr.RP.of.subfamily"
"296","Other.Rel.18..never.marr.not.in.subfamily"
"297","Other.Rel.18..never.marr.RP.of.subfamily"
"298","Other.Rel.18..spouse.of.subfamily.RP"
"299","RP.of.unrelated.subfamily"
"300","Secondary.individual"
"301","Spouse.of.householder"
"302","Spouse.of.RP.of.unrelated.subfamily"
"303","Child.18.or.older"
"304","Child.under.18.ever.married"
"305","Child.under.18.never.married"
"306","Group.Quarters..Secondary.individual"
"307","Householder"
"308","Nonrelative.of.householder"
"309","Other.relative.of.householder"
"310","Spouse.of.householder"
