"","x"
"176","Asian or Pacific Islander"
"177","Black"
"178","Other"
"179","White"
"180","All other"
"181","Central or South American"
"182","Chicano"
"183","Cuban"
"184","Do not know"
"185","Mexican-American"
"186","Mexican (Mexicano)"
"187","NA"
"188","Other Spanish"
"189","Puerto Rican"
"190","Female"
"191","Male"
"192","No"
"193","Not in universe"
"194","Yes"
"195","Job leaver"
"196","Job loser - on layoff"
"197","New entrant"
"198","Not in universe"
"199","Other job loser"
"200","Re-entrant"
"201","Children or Armed Forces"
"202","Head of household"
"203","Joint both 65+"
"204","Joint both under 65"
"205","Joint one under 65 & one 65+"
"206","Nonfiler"
"207","Single"
"208","Abroad"
"209","Midwest"
"210","Northeast"
"211","Not in universe"
"212","South"
"213","West"
"214","Abroad"
"215","Alabama"
"216","Alaska"
"217","Arizona"
"218","Arkansas"
"219","California"
"220","Colorado"
"221","Connecticut"
"222","Delaware"
"223","District of Columbia"
"224","Florida"
"225","Georgia"
"226","Idaho"
"227","Illinois"
"228","Indiana"
"229","Iowa"
"230","Kansas"
"231","Kentucky"
"232","Louisiana"
"233","Maine"
"234","Maryland"
"235","Massachusetts"
"236","Michigan"
"237","Minnesota"
"238","Mississippi"
"239","Missouri"
"240","Montana"
"241","Nebraska"
"242","Nevada"
"243","New Hampshire"
"244","New Jersey"
"245","New Mexico"
"246","New York"
"247","North Carolina"
"248","North Dakota"
"249","Not in universe"
"250","Ohio"
"251","Oklahoma"
"252","Oregon"
"253","Pennsylvania"
"254","South Carolina"
"255","South Dakota"
"256","Tennessee"
"257","Texas"
"258","Utah"
"259","Vermont"
"260","Virginia"
"261","West Virginia"
"262","Wisconsin"
"263","Wyoming"
"264",NA
"265","Child <18 ever marr not in subfamily"
"266","Child <18 ever marr RP of subfamily"
"267","Child <18 never marr not in subfamily"
"268","Child <18 never marr RP of subfamily"
"269","Child <18 spouse of subfamily RP"
"270","Child 18+ ever marr Not in a subfamily"
"271","Child 18+ ever marr RP of subfamily"
"272","Child 18+ never marr Not in a subfamily"
"273","Child 18+ never marr RP of subfamily"
"274","Child 18+ spouse of subfamily RP"
"275","Child under 18 of RP of unrel subfamily"
"276","Grandchild <18 ever marr not in subfamily"
"277","Grandchild <18 never marr child of subfamily RP"
"278","Grandchild <18 never marr not in subfamily"
"279","Grandchild <18 never marr RP of subfamily"
"280","Grandchild 18+ ever marr not in subfamily"
"281","Grandchild 18+ ever marr RP of subfamily"
"282","Grandchild 18+ never marr not in subfamily"
"283","Grandchild 18+ never marr RP of subfamily"
"284","Grandchild 18+ spouse of subfamily RP"
"285","Householder"
"286","In group quarters"
"287","Nonfamily householder"
"288","Other Rel <18 ever marr RP of subfamily"
"289","Other Rel <18 never marr child of subfamily RP"
"290","Other Rel <18 never marr not in subfamily"
"291","Other Rel <18 never married RP of subfamily"
"292","Other Rel <18 spouse of subfamily RP"
"293","Other Rel 18+ ever marr not in subfamily"
"294","Other Rel 18+ ever marr RP of subfamily"
"295","Other Rel 18+ never marr not in subfamily"
"296","Other Rel 18+ never marr RP of subfamily"
"297","Other Rel 18+ spouse of subfamily RP"
"298","RP of unrelated subfamily"
"299","Secondary individual"
"300","Spouse of householder"
"301","Spouse of RP of unrelated subfamily"
"302","Child 18 or older"
"303","Child under 18 ever married"
"304","Child under 18 never married"
"305","Group Quarters- Secondary individual"
"306","Householder"
"307","Nonrelative of householder"
"308","Other relative of householder"
"309","Spouse of householder"
"310","Federal government"
"311","Local government"
"312","Never worked"
"313","Not in universe"
"314","Private"
"315","Self-employed-incorporated"
"316","Self-employed-not incorporated"
"317","State government"
"318","Without pay"
"319","0"
"320","1"
"321","2"
"322","3"
"323","4"
"324","5"
"325","6"
"326","7"
"327","8"
"328","9"
"329","10"
"330","11"
"331","12"
"332","13"
"333","14"
"334","15"
"335","16"
"336","17"
"337","18"
"338","19"
"339","20"
"340","21"
"341","22"
"342","23"
"343","24"
"344","25"
"345","26"
"346","27"
"347","28"
"348","29"
"349","30"
"350","31"
"351","32"
"352","33"
"353","34"
"354","35"
"355","36"
"356","37"
"357","38"
"358","39"
"359","40"
"360","41"
"361","42"
"362","43"
"363","44"
"364","45"
"365","46"
"366","47"
"367","48"
"368","49"
"369","50"
"370","51"
"371","0"
"372","1"
"373","2"
"374","3"
"375","4"
"376","5"
"377","6"
"378","7"
"379","8"
"380","9"
"381","10"
"382","11"
"383","12"
"384","13"
"385","14"
"386","15"
"387","16"
"388","17"
"389","18"
"390","19"
"391","20"
"392","21"
"393","22"
"394","23"
"395","24"
"396","25"
"397","26"
"398","27"
"399","28"
"400","29"
"401","30"
"402","31"
"403","32"
"404","33"
"405","34"
"406","35"
"407","36"
"408","37"
"409","38"
"410","39"
"411","40"
"412","41"
"413","42"
"414","43"
"415","44"
"416","45"
"417","46"
"418","10th grade"
"419","11th grade"
"420","12th grade no diploma"
"421","1st 2nd 3rd or 4th grade"
"422","5th or 6th grade"
"423","7th and 8th grade"
"424","9th grade"
"425","Associates degree-academic program"
"426","Associates degree-occup /vocational"
"427","Bachelors degree(BA AB BS)"
"428","Children"
"429","Doctorate degree(PhD EdD)"
"430","High school graduate"
"431","Less than 1st grade"
"432","Masters degree(MA MS MEng MEd MSW MBA)"
"433","Prof school degree (MD DDS DVM LLB JD)"
"434","Some college but no degree"
"435","College or university"
"436","High school"
"437","Not in universe"
"438","Divorced"
"439","Married-A F spouse present"
"440","Married-civilian spouse present"
"441","Married-spouse absent"
"442","Never married"
"443","Separated"
"444","Widowed"
"445","Agriculture"
"446","Armed Forces"
"447","Business and repair services"
"448","Communications"
"449","Construction"
"450","Education"
"451","Entertainment"
"452","Finance insurance and real estate"
"453","Forestry and fisheries"
"454","Hospital services"
"455","Manufacturing-durable goods"
"456","Manufacturing-nondurable goods"
"457","Medical except hospital"
"458","Mining"
"459","Not in universe or children"
"460","Other professional services"
"461","Personal services except private HH"
"462","Private household services"
"463","Public administration"
"464","Retail trade"
"465","Social services"
"466","Transportation"
"467","Utilities and sanitary services"
"468","Wholesale trade"
"469","Adm support including clerical"
"470","Armed Forces"
"471","Executive admin and managerial"
"472","Farming forestry and fishing"
"473","Handlers equip cleaners etc"
"474","Machine operators assmblrs & inspctrs"
"475","Not in universe"
"476","Other service"
"477","Precision production craft & repair"
"478","Private household services"
"479","Professional specialty"
"480","Protective services"
"481","Sales"
"482","Technicians and related support"
"483","Transportation and material moving"
"484","Amer Indian Aleut or Eskimo"
"485","Asian or Pacific Islander"
"486","Black"
"487","Other"
"488","White"
"489","All other"
"490","Central or South American"
"491","Chicano"
"492","Cuban"
"493","Do not know"
"494","Mexican-American"
"495","Mexican (Mexicano)"
"496","NA"
"497","Other Spanish"
"498","Puerto Rican"
"499","Female"
"500","Male"
"501","No"
"502","Not in universe"
"503","Yes"
"504","Job leaver"
"505","Job loser - on layoff"
"506","New entrant"
"507","Not in universe"
"508","Other job loser"
"509","Re-entrant"
"510","Children or Armed Forces"
"511","Head of household"
"512","Joint both 65+"
"513","Joint both under 65"
"514","Joint one under 65 & one 65+"
"515","Nonfiler"
"516","Single"
"517","Abroad"
"518","Midwest"
"519","Northeast"
"520","Not in universe"
"521","South"
"522","West"
"523","Abroad"
"524","Alabama"
"525","Alaska"
"526","Arizona"
"527","Arkansas"
"528","California"
"529","Colorado"
"530","Connecticut"
"531","Delaware"
"532","District of Columbia"
"533","Florida"
"534","Georgia"
"535","Idaho"
"536","Illinois"
"537","Indiana"
"538","Iowa"
"539","Kansas"
"540","Kentucky"
"541","Louisiana"
"542","Maine"
"543","Maryland"
"544","Massachusetts"
"545","Michigan"
"546","Minnesota"
"547","Mississippi"
"548","Missouri"
"549","Montana"
"550","Nebraska"
"551","Nevada"
"552","New Hampshire"
"553","New Jersey"
"554","New Mexico"
"555","New York"
"556","North Carolina"
"557","North Dakota"
"558","Not in universe"
"559","Ohio"
"560","Oklahoma"
"561","Oregon"
"562","Pennsylvania"
"563","South Carolina"
"564","South Dakota"
"565","Tennessee"
"566","Texas"
"567","Utah"
"568","Vermont"
"569","Virginia"
"570","West Virginia"
"571","Wisconsin"
"572","Wyoming"
"573",NA
"574","Child <18 ever marr not in subfamily"
"575","Child <18 ever marr RP of subfamily"
"576","Child <18 never marr not in subfamily"
"577","Child <18 never marr RP of subfamily"
"578","Child <18 spouse of subfamily RP"
"579","Child 18+ ever marr Not in a subfamily"
"580","Child 18+ ever marr RP of subfamily"
"581","Child 18+ never marr Not in a subfamily"
"582","Child 18+ never marr RP of subfamily"
"583","Child 18+ spouse of subfamily RP"
"584","Child under 18 of RP of unrel subfamily"
"585","Grandchild <18 ever marr not in subfamily"
"586","Grandchild <18 never marr child of subfamily RP"
"587","Grandchild <18 never marr not in subfamily"
"588","Grandchild <18 never marr RP of subfamily"
"589","Grandchild 18+ ever marr not in subfamily"
"590","Grandchild 18+ ever marr RP of subfamily"
"591","Grandchild 18+ never marr not in subfamily"
"592","Grandchild 18+ never marr RP of subfamily"
"593","Grandchild 18+ spouse of subfamily RP"
"594","Householder"
"595","In group quarters"
"596","Nonfamily householder"
"597","Other Rel <18 ever marr RP of subfamily"
"598","Other Rel <18 never marr child of subfamily RP"
"599","Other Rel <18 never marr not in subfamily"
"600","Other Rel <18 never married RP of subfamily"
"601","Other Rel <18 spouse of subfamily RP"
"602","Other Rel 18+ ever marr not in subfamily"
"603","Other Rel 18+ ever marr RP of subfamily"
"604","Other Rel 18+ never marr not in subfamily"
"605","Other Rel 18+ never marr RP of subfamily"
"606","Other Rel 18+ spouse of subfamily RP"
"607","RP of unrelated subfamily"
"608","Secondary individual"
"609","Spouse of householder"
"610","Spouse of RP of unrelated subfamily"
"611","Child 18 or older"
"612","Child under 18 ever married"
"613","Child under 18 never married"
"614","Group Quarters- Secondary individual"
"615","Householder"
"616","Nonrelative of householder"
"617","Other relative of householder"
"618","Spouse of householder"
"619","Abroad to MSA"
"620","Abroad to nonMSA"
"621","MSA to MSA"
"622","MSA to nonMSA"
"623","Nonmover"
"624","NonMSA to MSA"
"625","NonMSA to nonMSA"
"626","Not identifiable"
"627","Not in universe"
"628","Abroad"
"629","Different county same state"
"630","Different division same region"
"631","Different region"
"632","Different state same division"
"633","Nonmover"
"634","Not in universe"
"635","Same county"
"636","Abroad"
"637","Different county same state"
"638","Different state in Midwest"
"639","Different state in Northeast"
"640","Different state in South"
"641","Different state in West"
"642","Nonmover"
"643","Not in universe"
"644","Same county"
"645","No"
"646","Not in universe under 1 year old"
"647","Yes"
"648","No"
"649","Not in universe"
"650","Yes"
"651","Both parents present"
"652","Father only present"
"653","Mother only present"
"654","Neither parent present"
"655","Not in universe"
"656","Cambodia"
"657","Canada"
"658","China"
"659","Columbia"
"660","Cuba"
"661","Dominican-Republic"
"662","Ecuador"
"663","El-Salvador"
"664","England"
"665","France"
"666","Germany"
"667","Greece"
"668","Guatemala"
"669","Haiti"
"670","Honduras"
"671","Hong Kong"
"672","Hungary"
"673","India"
"674","Iran"
"675","Ireland"
"676","Italy"
"677","Jamaica"
"678","Japan"
"679","Laos"
"680","Mexico"
"681","Nicaragua"
"682","Outlying-U S (Guam USVI etc)"
"683","Peru"
"684","Philippines"
"685","Poland"
"686","Portugal"
"687","Puerto-Rico"
"688","Scotland"
"689","South Korea"
"690","Taiwan"
"691","Thailand"
"692","Trinadad&Tobago"
"693","United-States"
"694","Vietnam"
"695","Yugoslavia"
"696",NA
"697","Cambodia"
"698","Canada"
"699","China"
"700","Columbia"
"701","Cuba"
"702","Dominican-Republic"
"703","Ecuador"
"704","El-Salvador"
"705","England"
"706","France"
"707","Germany"
"708","Greece"
"709","Guatemala"
"710","Haiti"
"711","Honduras"
"712","Hong Kong"
"713","Hungary"
"714","India"
"715","Iran"
"716","Ireland"
"717","Italy"
"718","Jamaica"
"719","Japan"
"720","Laos"
"721","Mexico"
"722","Nicaragua"
"723","Outlying-U S (Guam USVI etc)"
"724","Peru"
"725","Philippines"
"726","Poland"
"727","Portugal"
"728","Puerto-Rico"
"729","Scotland"
"730","South Korea"
"731","Taiwan"
"732","Thailand"
"733","Trinadad&Tobago"
"734","United-States"
"735","Vietnam"
"736","Yugoslavia"
"737",NA
"738","Cambodia"
"739","Canada"
"740","China"
"741","Columbia"
"742","Cuba"
"743","Dominican-Republic"
"744","Ecuador"
"745","El-Salvador"
"746","England"
"747","France"
"748","Germany"
"749","Greece"
"750","Guatemala"
"751","Haiti"
"752","Honduras"
"753","Hong Kong"
"754","Hungary"
"755","India"
"756","Iran"
"757","Ireland"
"758","Italy"
"759","Jamaica"
"760","Japan"
"761","Laos"
"762","Mexico"
"763","Nicaragua"
"764","Outlying-U S (Guam USVI etc)"
"765","Peru"
"766","Philippines"
"767","Poland"
"768","Portugal"
"769","Puerto-Rico"
"770","Scotland"
"771","South Korea"
"772","Taiwan"
"773","Thailand"
"774","Trinadad&Tobago"
"775","United-States"
"776","Vietnam"
"777","Yugoslavia"
"778",NA
"779","Foreign born- Not a citizen of U S"
"780","Foreign born- U S citizen by naturalization"
"781","Native- Born abroad of American Parent(s)"
"782","Native- Born in Puerto Rico or U S Outlying"
"783","Native- Born in the United States"
"784","0"
"785","1"
"786","2"
"787","No"
"788","Not in universe"
"789","Yes"
"790","0"
"791","1"
"792","2"
